ID_Activo,Fecha,Clase,Categoría,Subcategoría,Institución,Nombre_Producto,Moneda,Valor_Original,Tipo_Cambio_a_CLP,Valor_CLP,Ticker,Identificador_Cuenta,Detalle_Adicional
ffm_soyfocus_arriesgado_2025,8/2/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,7599907,1,7599907,,,
ffm_soyfocus_moderado_2025,8/2/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3040544,1,3040544,,,
acc_itau_enelchile,8/2/2026,Activo,Inversión Líquida,Acción,banco itau,enelchile,CLP,1245060,1,1245060,enelchile,,
acc_itau_habitat,8/2/2026,Activo,Inversión Líquida,Acción,banco itau,habitat,CLP,1018693,1,1018693,HABITAT,,
ffm_itau_moneymarket,8/2/2026,Activo,Inversión Líquida,Fondo,banco itau,money market,CLP,25622,1,25622,,,
prop_carmen_590,8/2/2026,Activo,Activo Fijo,Propiedades,(N/A),carmen 590,UF,2100,39693,83355300,,,
prop_huanuco_2290,8/2/2026,Activo,Activo Fijo,Propiedades,(N/A),huanuco 2290,UF,2500,39693,99232500,,,
afp_habitat_obligatorio,8/2/2026,Activo,Activo Fijo,Afp,habitat,ahorro obligatorio,CLP,48479047,1,48479047,,,
pas_bci_hipotecario,8/2/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,banco bci,hipotecario,CLP,61904392,1,61904392,,,
cta_bci_cte,8/2/2026,Activo,Circulante,Cuenta corriente,banco bci,,CLP,47031498,1,47031498,,,
pas_bci_tdc_black,8/2/2026,Pasivo,Pasivo Circulante,Tarjeta credito,banco bci,mastercard black,CLP,1602185,1,1602185,,,
pas_sii_impuestos,8/2/2026,Pasivo,Pasivo a Largo Plazo,Impuestos,sii,27 bis 177 utm,UTM,177,69611,12321147,,,
cta_consorcio_vista,8/2/2026,Activo,Inversión Líquida,Cuenta vista,consorcio,cuenta mas,CLP,59255082,1,59255082,,,
prestamo_s_castro,8/2/2026,Activo,Inversión Poco Líquida,Credito personal,sandor castro,,CLP,3000000,1,3000000,,,
cta_chile_vista,8/2/2026,Activo,Circulante,Cuenta vista,banco chile,,CLP,635,1,635,,,
cta_estado_vista,8/2/2026,Activo,Circulante,Cuenta vista,banco estado,,CLP,98500,1,98500,,,
inv_estado_ahorro,8/2/2026,Activo,Inversión Poco Líquida,Cuenta ahorro,banco estado,,CLP,500000,1,500000,,,
cta_bice_vista,8/2/2026,Activo,Circulante,Cuenta vista,banco bice,,CLP,57471,1,57471,,,
cta_scotia_cte,8/2/2026,Activo,Circulante,Cuenta corriente,banco scotiabank,,CLP,35846463,1,35846463,,,
inv_coopeuch_cuotas,8/2/2026,Activo,Inversión Poco Líquida,Cuotas de Participación,coopeuch,coopeuch,CLP,787520,1,787520,,,
pas_coopeuch_hipotecario,8/2/2026,Pasivo,Pasivo a Largo Plazo,Credito hipotecario,coopeuch,hipotecario,CLP,65725870,1,65725870,,,
efectivo_cash,8/2/2026,Activo,Circulante,Efectivo,cash,cash,CLP,300000,1,300000,,,
pas_cheque_pie_huanuco,8/2/2026,Pasivo,Pasivo a Largo Plazo,Cheques,inmobiliaria activa,pie huanuco,CLP,18550000,1,18550000,,,
apv_soyfocus_arriesgado_a_25,7/3/2026,Activo,Activo Fijo,Apv,soyfocus,2025 octubre apv-a arriesgado - reg a,CLP,18725552,1,18725552,,,
ffm_soyfocus_arriesgado_2025,7/3/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre arriesgado,CLP,8019265,1,8019265,,,
ffm_soyfocus_moderado_2025,7/3/2026,Activo,Inversión Líquida,Fondo,soyfocus,2025 octubre moderado,CLP,3126919,1,3126919,,,
acc_itau_enelchile,7/3/2026,Activo,Inversión Líquida,Acción,banco itau,enelchile,CLP,1181694,1,1181694,enelchile,,
